Date;TMin;TMax;TAvg;AvgWind;AvgCloud;DayLength;AvgLoadPrevDay;AvgTempPrevDay;LoadLastHourPrevDay;MinTempDiff;MaxTempDiff;AvgTempDiff;AvgWindDiff;AvgCloudDiff;DayLengthDiff;TimeDistance;TemperatureHourlySqrDeviationStartDay;TemperatureHourlySqrDeviationMiddleDay;TemperatureHourlySqrDeviationEndDay;WindHourlySqrDeviationStartDay;WindHourlySqrDeviationMiddleDay;WindHourlySqrDeviationEndDay;InertiaAvgLoadDiffPerc;InertiaAvgTempDiffPerc;InertiaLoadLastHourDiffPerc;CoefficientWeather;CoefficientInertia; CoefficientDayLength;CoefficientDateProximity;CalculatedCoeficient;AbandonedByCoef;AbandonedByLoad;Chosen
2019-12-29;-0,80;1,10;0,30;2,20;0;530;4582;3,29;4698;0,70;2,90;1,00;0,10;73;1;0,01;1,73;2,63;1,32;1,00;0,45;0,71;4,63;3,58;5,45;2,63;5,03;0,03;0,01;2,07;False;False;True
2019-12-01;-1,40;7,10;2,80;2,40;0;544;4138;11,42;4252;0,10;3,10;1,50;0,30;21;13;0,08;0,76;1,91;2,12;1,31;1,06;2,00;14,06;8,50;4,56;2,25;9,06;0,43;0,08;3,16;False;False;False
2019-02-24;-5,20;2,50;-1,40;1,50;0;653;4523;5,17;4763;3,70;1,50;2,70;0,60;10;122;0,85;3,21;3,03;1,22;1,56;0,58;0,87;4,17;0,21;6,91;2,61;5,34;4,07;0,85;3,33;False;False;False
2019-01-27;-3,00;5,30;1,40;2,90;0;576;4965;-1,79;4925;1,50;1,30;0,10;0,80;23;45;0,93;2,27;0,89;2,65;1,51;1,48;2,00;0,85;1,33;10,55;2,56;5,68;1,50;0,93;2,78;False;False;False
2019-01-13;0,50;5,70;2,50;1,10;0;547;5009;-1,33;5020;2,00;1,70;1,20;1,00;63;16;0,97;1,73;1,51;0,71;1,60;1,21;0,71;1,67;0,17;12,68;3,39;6,92;0,53;0,97;3,11;False;False;False
2018-12-30;3,30;5,60;4,30;1,50;0;531;4667;6,13;4631;4,80;1,60;3,00;0,60;73;0;1,00;4,77;2,74;3,54;1,31;0,93;0,87;5,30;6,54;3,95;3,96;4,83;0,00;1,00;2,58;False;False;False
2018-12-16;-4,90;-0,20;-1,60;1,60;0;529;4864;0,17;4776;3,40;4,20;2,90;0,50;71;2;1,04;0,85;3,69;5,27;0,85;0,93;1,00;1,05;1,37;7,21;3,86;4,07;0,07;1,04;2,37;False;False;True
2018-12-02;-1,00;10,10;4,00;2,60;0;543;4877;-3,58;4756;0,50;6,10;2,70;0,50;31;12;1,08;0,76;4,15;4,53;0,85;1,21;0,87;0,77;0,13;6,76;3,21;3,65;0,40;1,08;2,18;False;False;True
2018-11-18;0,80;3,50;1,80;2,60;0;568;4215;6,38;4305;2,30;0,50;0,50;0,50;67;37;1,12;2,67;1,51;0,71;1,77;0,63;0,50;11,71;5,79;3,37;2,76;7,17;1,23;1,12;3,21;False;False;False
2018-03-18;0,20;8,00;2,20;2,50;0;722;4102;12,00;4052;1,70;4,00;0,90;0,40;68;191;1,79;6,09;2,18;0,87;1,25;0,77;1,00;16,78;14,17;9,05;3,47;12,82;6,37;1,79;6,32;False;False;False
