Date;TMin;TMax;TAvg;AvgWind;AvgCloud;DayLength;AvgLoadPrevDay;AvgTempPrevDay;LoadLastHourPrevDay;MinTempDiff;MaxTempDiff;AvgTempDiff;AvgWindDiff;AvgCloudDiff;DayLengthDiff;TimeDistance;TemperatureHourlySqrDeviationStartDay;TemperatureHourlySqrDeviationMiddleDay;TemperatureHourlySqrDeviationEndDay;WindHourlySqrDeviationStartDay;WindHourlySqrDeviationMiddleDay;WindHourlySqrDeviationEndDay;InertiaAvgLoadDiffPerc;InertiaAvgTempDiffPerc;InertiaLoadLastHourDiffPerc;CoefficientWeather;CoefficientInertia; CoefficientDayLength;CoefficientDateProximity;CalculatedCoeficient;AbandonedByCoef;AbandonedByLoad;Chosen
2017-12-24;5,30;14,60;8,60;2,00;0;528;5005;0,92;4858;0,50;0,80;0,10;0,10;45;4;0,02;1,36;1,39;1,32;0,85;0,82;0,87;9,46;1,67;15,31;1,47;9,34;0,13;0,02;3,20;False;False;False
2017-11-26;2,20;9,90;6,60;2,80;0;551;4274;11,46;4255;2,60;3,90;2,10;0,70;80;19;0,10;2,90;4,07;4,87;1,85;1,15;0,71;4,50;3,46;1,00;4,08;3,55;0,63;0,10;2,17;False;False;True
2017-11-19;5,70;8,40;6,50;1,10;0;565;4377;8,21;4304;0,90;5,40;2,20;1,00;65;33;0,12;1,25;3,26;2,29;0,93;0,89;1,22;2,09;0,63;2,16;3,77;2,08;1,10;0,12;1,75;False;False;True
2017-11-12;9,20;16,00;13,00;1,90;0;582;4120;10,79;4017;4,40;2,20;4,30;0,20;50;50;0,14;5,06;4,73;5,27;0,65;0,97;1,12;9,75;4,08;4,65;3,50;6,80;1,67;0,14;3,25;False;False;False
2017-11-05;6,60;16,30;10,40;4,10;0;599;4219;11,04;4121;1,80;2,50;1,70;2,00;15;67;0,16;2,14;2,73;0,50;1,56;2,42;2,55;7,58;2,25;2,18;4,06;4,71;2,23;0,16;2,86;False;False;False
2017-10-29;8,10;16,50;10,50;2,10;0;619;3830;13,25;3907;3,30;2,70;1,80;0,00;65;87;0,18;3,80;3,84;0,71;0,76;0,93;1,00;10,93;4,29;7,26;2,77;8,61;2,90;0,18;3,89;False;False;False
2017-03-19;9,30;12,00;10,20;1,90;0;726;4107;9,83;4048;4,50;1,80;1,50;0,20;75;194;0,79;5,45;3,02;0,87;0,93;0,68;0,87;9,13;7,29;3,92;3,15;7,09;6,47;0,79;4,40;False;False;False
2017-03-12;3,90;7,40;5,30;2,30;0;704;4296;6,83;4356;0,90;6,40;3,40;0,20;60;172;0,81;0,38;4,24;4,00;0,00;0,77;0,71;1,49;0,04;3,39;3,07;2,13;5,73;0,81;2,73;False;False;False
2017-03-05;9,90;17,30;14,30;4,00;0;682;4099;10,83;3979;5,10;3,50;5,60;1,90;50;150;0,83;8,74;6,48;1,80;1,51;2,65;1,00;11,45;8,83;5,55;6,05;8,87;5,00;0,83;5,32;False;False;False
2017-02-26;1,50;14,40;7,50;2,10;0;661;4282;11,25;4444;3,30;0,60;1,20;0,00;20;129;0,85;3,05;1,97;1,80;0,93;1,37;1,32;1,84;0,67;5,48;1,81;3,41;4,30;0,85;2,55;False;False;False
2017-02-05;8,20;12,80;9,80;3,10;0;599;4585;11,88;4431;3,40;1,00;1,10;1,00;40;67;0,90;4,44;2,72;0,50;0,53;1,71;2,78;0,10;4,96;5,17;3,29;3,80;2,23;0,90;2,60;False;False;False
2016-12-11;2,00;10,80;5,60;1,30;0;531;4911;0,54;4709;2,80;3,00;3,10;0,80;17;1;1,06;2,75;2,58;2,78;1,00;1,06;0,71;6,51;0,00;11,77;3,01;6,69;0,03;1,06;3,00;False;False;False
2016-11-27;5,80;10,60;7,80;1,80;0;549;4333;10,17;4280;1,00;3,20;0,90;0,30;65;17;1,10;1,85;2,24;0,71;1,00;0,97;0,00;3,36;2,08;1,59;2,43;2,86;0,57;1,10;1,83;False;False;True
2016-11-20;8,90;15,70;11,30;6,80;0;563;4366;11,08;4244;4,10;1,90;2,60;4,70;20;31;1,11;5,29;3,39;0,71;4,74;5,03;4,53;4,43;6,75;0,74;8,37;4,12;1,03;1,11;3,68;False;False;False
2016-10-30;5,50;13,10;9,30;2,20;0;615;4119;8,29;4110;0,70;0,70;0,60;0,10;5;83;1,17;2,00;1,48;0,87;0,00;0,63;0,00;6,37;1,54;2,44;0,74;4,14;2,77;1,17;2,30;False;False;False
2016-03-20;6,80;15,90;11,00;1,50;0;730;4198;7,96;4171;2,00;2,10;2,30;0,60;25;198;1,79;2,39;3,35;2,55;1,13;0,77;0,00;7,02;2,63;1,00;2,50;4,04;6,60;1,79;3,61;False;False;False
2016-03-13;7,80;11,10;9,10;2,90;0;708;4248;8,63;4192;3,00;2,70;0,40;0,80;40;176;1,80;2,90;2,25;0,87;2,54;1,21;1,00;7,26;3,25;0,50;3,18;4,10;5,87;1,80;3,65;False;False;False
