Date;TMin;TMax;TAvg;AvgWind;AvgCloud;DayLength;AvgLoadPrevDay;AvgTempPrevDay;LoadLastHourPrevDay;MinTempDiff;MaxTempDiff;AvgTempDiff;AvgWindDiff;AvgCloudDiff;DayLengthDiff;TimeDistance;TemperatureHourlySqrDeviationStartDay;TemperatureHourlySqrDeviationMiddleDay;TemperatureHourlySqrDeviationEndDay;WindHourlySqrDeviationStartDay;WindHourlySqrDeviationMiddleDay;WindHourlySqrDeviationEndDay;InertiaAvgLoadDiffPerc;InertiaAvgTempDiffPerc;InertiaLoadLastHourDiffPerc;CoefficientWeather;CoefficientInertia; CoefficientDayLength;CoefficientDateProximity;CalculatedCoeficient;AbandonedByCoef;AbandonedByLoad;Chosen
2018-12-30;3,30;5,60;4,30;1,50;0;531;4667;6,13;4631;2,30;1,60;2,00;0,30;25;1;0,01;1,85;2,14;3,00;0,93;0,77;0,87;0,41;0,88;7,42;2,14;3,43;0,03;0,01;1,32;False;False;True
2018-12-16;-4,90;-0,20;-1,60;1,60;0;529;4864;0,17;4776;5,90;4,20;3,90;0,20;23;3;0,04;3,51;3,79;5,77;0,65;1,24;1,00;4,06;4,29;10,79;4,09;6,95;0,10;0,04;2,64;False;False;False
2018-12-02;-1,00;10,10;4,00;2,60;0;543;4877;-3,58;4756;2,00;6,10;1,70;0,80;71;11;0,08;3,36;4,16;4,00;0,65;1,46;0,87;4,35;5,79;10,32;4,13;7,17;0,37;0,08;2,78;False;False;False
2018-11-18;0,80;3,50;1,80;2,60;0;568;4215;6,38;4305;0,20;0,50;0,50;0,80;31;36;0,12;0,85;1,03;0,71;1,85;0,82;0,50;7,15;0,13;0,14;1,21;3,09;1,20;0,12;1,36;False;False;True
2018-03-18;0,20;8,00;2,20;2,50;0;722;4102;12,00;4052;0,80;4,00;0,10;0,70;27;190;0,79;3,18;1,69;1,32;1,13;0,77;1,00;12,49;8,50;6,01;2,24;9,13;6,33;0,79;4,58;False;False;False
2018-03-04;-1,10;2,00;-0,40;1,50;0;679;5083;0,04;4793;2,10;2,00;2,70;0,30;27;147;0,83;3,21;2,52;2,55;0,53;0,77;0,87;4,84;3,71;11,18;2,37;7,40;4,90;0,83;3,82;False;False;False
2018-02-25;-6,20;-2,40;-4,00;2,80;0;657;4756;2,75;4854;7,20;6,40;6,30;1,00;41;125;0,85;6,18;6,44;5,00;1,56;1,65;1,32;2,81;3,96;12,60;6,04;7,05;4,17;0,85;4,28;False;False;False
2018-02-18;2,30;6,20;3,40;1,70;0;636;4373;4,63;4499;1,30;2,20;1,10;0,10;25;104;0,87;2,62;1,83;1,00;1,00;0,73;0,87;5,10;1,25;4,36;1,75;4,08;3,47;0,87;2,51;False;False;False
2018-02-11;1,40;3,80;2,50;1,50;0;616;4648;2,79;4632;0,40;0,20;0,20;0,30;25;84;0,89;0,76;0,73;1,58;1,00;0,82;0,50;2,61;2,17;7,45;0,90;4,53;2,80;0,89;2,30;False;False;False
2018-02-04;1,00;5,20;2,50;2,50;0;597;4313;12,38;4371;0,00;1,20;0,20;0,70;5;65;0,91;1,60;1,03;0,87;0,93;1,48;1,00;5,79;0,17;1,39;1,10;3,09;2,17;0,91;1,82;False;False;False
2018-01-28;-0,70;2,70;1,30;1,30;0;579;4765;3,71;4634;1,70;1,30;1,00;0,50;25;47;0,93;1,65;1,15;0,50;1,25;0,63;1,00;0,77;0,25;7,49;1,59;3,52;1,57;0,93;1,88;False;False;False
2018-01-21;0,80;4,00;2,20;3,00;0;563;4662;6,67;4578;0,20;0,00;0,10;1,20;25;31;0,94;1,56;1,00;0,87;1,69;1,97;0,71;3,03;1,13;6,19;1,26;4,04;1,03;0,94;1,83;False;False;False
2018-01-14;-2,80;0,90;-1,30;4,70;0;549;4543;5,83;4637;3,80;3,10;3,60;2,90;35;17;0,96;3,05;3,77;4,53;3,21;3,13;2,00;0,89;0,63;7,56;4,71;3,59;0,57;0,96;2,28;False;False;False
2017-12-17;0,90;2,80;1,90;1,50;0;528;4463;12,17;4578;0,10;1,20;0,40;0,30;25;4;1,04;0,65;1,32;0,87;1,31;0,97;0,71;2,44;1,08;6,19;1,14;3,79;0,13;1,04;1,55;False;False;True
2017-12-10;-1,00;4,90;2,10;3,20;0;532;4640;8,58;4636;2,00;0,90;0,20;1,40;75;0;1,06;2,75;0,86;2,40;0,76;1,71;1,94;0,66;0,50;7,54;2,59;3,54;0,00;1,06;1,74;False;False;False
2017-12-03;0,00;0,40;0,20;2,00;0;540;4577;3,33;4573;1,00;3,60;2,10;0,20;25;8;1,08;2,54;2,63;1,58;1,20;0,89;0,00;0,84;2,17;6,08;2,28;3,23;0,27;1,08;1,67;False;False;True
2017-02-19;-0,40;1,30;0,30;1,40;0;639;4764;0,13;4777;1,40;2,70;2,00;0,40;25;107;1,86;2,39;1,95;0,71;0,76;0,89;1,00;1,25;3,17;10,81;2,10;5,60;3,57;1,86;3,29;False;False;False
2017-02-12;-4,40;2,20;-2,20;5,70;0;619;4847;-0,42;4995;5,40;1,80;4,50;3,90;75;87;1,88;5,87;3,93;5,27;4,66;4,07;3,16;5,43;4,50;15,87;6,02;9,60;2,90;1,88;4,94;False;False;False
2017-01-22;-6,70;-2,00;-5,00;1,20;0;566;5137;-3,67;5293;7,70;6,00;7,30;0,60;13;34;1,94;8,93;6,73;6,00;1,31;0,68;1,22;12,95;9,96;22,78;5,90;16,51;1,13;1,94;6,29;False;False;False
2017-01-15;-2,30;4,50;0,20;1,50;0;552;5423;3,92;5070;3,30;0,50;2,10;0,30;75;20;1,96;3,32;1,91;3,00;1,20;0,77;1,00;9,76;3,17;17,61;2,65;11,99;0,67;1,96;4,37;False;False;False
2016-12-25;-1,70;2,50;0,30;1,70;0;529;5257;-3,50;5078;2,70;1,50;2,00;0,10;22;3;2,02;4,11;2,14;1,50;1,31;1,03;0,87;10,93;5,63;17,79;2,11;12,99;0,10;2,02;4,40;False;False;False
2016-12-18;-5,70;-3,10;-3,80;2,00;0;528;4978;-0,63;5009;6,70;7,10;6,10;0,20;22;4;2,04;6,00;6,38;5,00;0,76;0,86;1,12;7,55;5,29;16,19;5,49;10,77;0,13;2,04;4,51;False;False;False
2016-12-04;-2,60;6,50;1,30;1,40;0;539;4652;5,17;4626;3,60;2,50;1,00;0,40;78;7;2,08;3,87;1,91;0,87;1,31;0,58;0,50;0,81;1,63;7,31;2,87;3,65;0,23;2,08;2,19;False;False;False
2016-11-13;1,30;3,50;2,50;4,60;0;579;4051;8,83;4212;0,30;0,50;0,20;2,80;20;47;2,13;0,85;0,86;1,32;4,74;3,24;0,50;9,38;3,75;2,30;2,14;5,56;1,57;2,13;2,88;False;False;False
2016-01-24;-4,00;-0,90;-1,90;1,30;0;568;5076;-3,29;5127;5,00;4,90;4,20;0,50;10;36;2,94;5,21;4,18;2,55;1,56;0,45;0,87;9,98;7,54;18,93;3,93;13,31;1,20;2,94;5,39;False;False;False
2016-01-17;-3,60;0,20;-2,20;3,60;0;554;4627;5,17;4771;4,60;3,80;4,50;1,80;25;22;2,96;3,00;5,24;5,10;1,56;2,25;1,80;0,44;2,42;10,67;4,66;4,99;0,73;2,96;3,28;False;False;False
2015-12-20;3,10;5,70;4,40;1,70;0;527;4877;2,92;4475;2,10;1,70;2,10;0,10;25;5;3,03;1,00;2,58;3,77;0,76;0,77;0,50;2,43;0,38;3,80;2,10;2,76;0,17;3,03;2,08;False;False;False
2015-12-13;-1,40;2,60;1,00;1,50;0;530;4658;4,58;4619;2,40;1,40;1,30;0,30;13;2;3,05;2,00;1,67;0,71;1,56;0,58;1,22;0,93;1,21;7,14;1,69;3,56;0,07;3,05;2,19;False;False;False
2015-12-06;4,00;7,80;5,40;1,60;0;538;4299;7,83;4341;3,00;3,80;3,10;0,20;25;6;3,07;2,80;2,34;1,80;0,65;0,52;0,50;5,14;1,83;0,70;2,80;2,77;0,20;3,07;2,24;False;False;False
2015-11-22;0,40;4,50;2,50;2,20;0;560;4104;12,42;3961;0,60;0,50;0,20;0,40;10;28;3,11;1,41;0,73;1,58;0,76;0,73;0,71;14,10;7,00;8,12;0,92;10,40;0,93;3,11;4,03;False;False;False
2015-03-08;1,60;6,10;3,80;2,20;0;690;4674;3,17;4708;0,60;2,10;1,50;0,40;14;158;3,82;0,85;2,13;3,28;1,00;1,13;1,12;0,98;1,08;9,21;1,84;4,42;5,27;3,82;3,94;False;False;False
2015-02-08;-1,50;1,00;-0,60;4,20;0;607;4833;3,00;4798;2,50;3,00;2,90;2,40;25;75;3,90;3,51;2,85;2,29;1,41;3,27;2,12;3,11;3,42;11,30;3,77;6,58;2,50;3,90;4,22;False;False;False
2015-02-01;-6,20;0,30;-2,10;1,40;0;588;4665;9,00;4522;7,20;3,70;4,40;0,40;25;56;3,92;1,73;1,91;1,58;1,81;1,77;0,00;2,43;0,17;4,89;3,76;3,14;1,87;3,92;3,18;False;False;False
2015-01-25;0,60;2,00;1,30;3,50;0;571;4543;6,25;4614;0,40;2,00;1,00;1,70;25;39;3,93;0,85;1,44;0,71;1,36;2,08;2,00;1,53;0,54;7,03;2,16;3,62;1,30;3,93;2,86;False;False;False
2015-01-04;1,60;5,30;2,90;3,70;0;534;4808;-2,42;4877;0,60;1,30;0,60;1,90;38;2;3,99;1,00;1,00;0,71;1,00;2,73;2,40;3,97;1,08;13,13;2,20;7,34;0,07;3,99;3,55;False;False;False
2018-12-23;5,90;9,70;7,30;1,80;0;528;4904;3,08;4648;4,90;5,70;5,00;0,00;13;4;0,02;4,31;5,21;5,32;1,07;1,10;0,71;2,50;4,00;7,82;4,37;5,03;0,13;0,02;2,20;False;False;False
2018-12-09;2,80;12,60;7,30;1,80;0;533;4758;2,83;4537;1,80;8,60;5,00;0,00;67;1;0,06;1,51;6,54;6,56;0,93;1,21;0,71;0,12;2,29;5,24;5,16;2,69;0,03;0,06;1,74;False;False;True
2017-11-26;2,20;9,90;6,60;2,80;0;551;4274;11,46;4255;1,20;5,90;4,30;1,00;25;19;1,10;5,62;5,05;2,50;1,96;1,55;0,71;8,20;5,50;1,30;4,04;4,92;0,63;1,10;2,55;False;False;False
2017-11-19;5,70;8,40;6,50;1,10;0;565;4377;8,21;4304;4,70;4,40;4,20;0,70;30;33;1,12;3,64;4,56;4,77;1,13;0,82;1,22;5,88;2,67;0,16;4,21;2,97;1,10;1,12;2,20;False;False;False
2017-03-12;3,90;7,40;5,30;2,30;0;704;4296;6,83;4356;2,90;3,40;3,00;0,50;45;172;1,81;2,75;3,17;3,00;0,65;1,13;0,71;5,30;2,08;1,04;3,22;3,01;5,73;1,81;3,35;False;False;False
2016-12-11;2,00;10,80;5,60;1,30;0;531;4911;0,54;4709;1,00;6,80;3,30;0,50;78;1;2,06;0,65;4,73;4,27;1,31;0,68;0,71;2,38;2,04;9,23;4,21;5,27;0,03;2,06;2,82;False;False;False
2015-12-27;2,80;11,80;6,70;1,50;0;528;4580;5,33;4666;1,80;7,80;4,40;0,30;75;4;3,01;3,32;5,43;3,77;0,53;0,82;0,71;1,50;2,42;8,23;4,77;4,41;0,13;3,01;3,02;False;False;False
2015-11-29;2,20;8,20;5,10;3,40;0;547;4652;2,92;4577;1,20;4,20;2,80;1,60;70;15;3,09;1,41;3,36;4,33;2,30;2,42;0,50;1,15;2,13;6,17;3,95;3,42;0,50;3,09;2,71;False;False;False
2015-02-15;2,10;11,50;5,70;4,20;0;627;4859;3,38;4615;1,10;7,50;3,40;2,40;72;95;3,88;0,53;5,46;2,12;2,62;3,18;1,22;1,29;0,54;7,05;5,18;3,64;3,17;3,88;3,90;False;False;False
2015-01-11;1,30;13,70;5,90;2,60;0;544;4921;3,50;4762;0,30;9,70;3,60;0,80;69;12;3,97;3,46;5,60;0,87;0,76;1,93;2,40;3,83;4,63;10,46;4,97;6,75;0,40;3,97;4,02;False;False;False
