Date;TMin;TMax;TAvg;AvgWind;AvgCloud;DayLength;AvgLoadPrevDay;AvgTempPrevDay;LoadLastHourPrevDay;MinTempDiff;MaxTempDiff;AvgTempDiff;AvgWindDiff;AvgCloudDiff;DayLengthDiff;TimeDistance;TemperatureHourlySqrDeviationStartDay;TemperatureHourlySqrDeviationMiddleDay;TemperatureHourlySqrDeviationEndDay;WindHourlySqrDeviationStartDay;WindHourlySqrDeviationMiddleDay;WindHourlySqrDeviationEndDay;InertiaAvgLoadDiffPerc;InertiaAvgTempDiffPerc;InertiaLoadLastHourDiffPerc;CoefficientWeather;CoefficientInertia; CoefficientDayLength;CoefficientDateProximity;CalculatedCoeficient;AbandonedByCoef;AbandonedByLoad;Chosen
2015-12-20;3,10;5,70;4,40;1,70;0;527;4877;2,92;4475;9,90;5,10;8,40;0,30;88;4;0,03;8,32;6,59;7,26;0,65;0,73;0,50;9,04;6,08;5,21;6,08;6,43;0,13;0,03;3,39;False;False;False
2015-12-13;-1,40;2,60;1,00;1,50;0;530;4658;4,58;4619;5,40;2,00;5,00;0,50;75;1;0,05;5,59;2,83;4,06;1,31;0,52;1,22;7,65;5,25;2,16;4,31;5,09;0,03;0,05;2,56;False;False;True
2015-12-06;4,00;7,80;5,40;1,60;0;538;4299;7,83;4341;10,80;7,20;9,40;0,40;88;7;0,07;10,31;6,43;5,27;0,53;0,58;0,50;11,58;8,29;8,05;6,72;9,69;0,23;0,07;4,56;False;False;False
2015-11-22;0,40;4,50;2,50;2,20;0;560;4104;12,42;3961;7,20;3,90;6,50;0,20;69;29;0,11;7,06;4,35;5,00;0,85;0,77;0,71;19,92;13,46;16,10;4,73;16,94;0,97;0,11;6,45;False;False;False
2015-03-08;1,60;6,10;3,80;2,20;0;690;4674;3,17;4708;8,40;5,50;7,80;0,20;44;159;0,82;7,19;6,07;6,76;0,76;0,82;1,12;5,87;5,38;0,28;5,15;3,78;5,30;0,82;3,63;False;False;False
2015-02-08;-1,50;1,00;-0,60;4,20;0;607;4833;3,00;4798;5,30;0,40;3,40;2,20;88;76;0,90;4,23;2,25;1,32;1,46;3,04;2,12;3,88;3,04;1,63;5,79;2,81;2,53;0,90;2,94;False;False;False
2015-02-01;-6,20;0,30;-2,10;1,40;0;588;4665;9,00;4522;0,60;0,30;1,90;0,60;88;57;0,91;9,18;5,86;5,00;1,93;1,55;0,00;9,05;6,62;4,22;3,79;6,87;1,90;0,91;3,58;False;False;False
2015-01-25;0,60;2,00;1,30;3,50;0;571;4543;6,25;4614;7,40;1,40;5,30;1,50;88;40;0,93;7,19;3,92;3,00;1,41;1,86;2,00;8,21;7,00;2,27;6,00;5,98;1,33;0,93;3,71;False;False;False
2015-01-04;1,60;5,30;2,90;3,70;0;534;4808;-2,42;4877;8,40;4,70;6,90;1,70;38;3;0,99;8,30;5,07;4,00;1,07;2,49;2,40;3,08;5,38;3,30;6,54;3,71;0,10;0,99;2,92;False;False;False
2014-12-28;-2,00;1,00;-0,70;4,50;0;529;4675;3,79;4826;4,80;0,40;3,30;2,50;88;2;1,01;4,07;1,63;1,80;2,93;3,56;0,87;4,92;2,54;2,22;6,16;3,44;0,07;1,01;2,74;False;False;False
2014-11-30;2,90;6,30;3,90;3,40;0;545;4648;5,49;4396;9,70;5,70;7,90;1,40;;14;1,09;7,96;5,44;4,38;;;;9,68;9,22;6,88;6,29;8,37;0,47;1,09;4,37;False;False;False
2014-11-23;1,80;8,80;4,70;1,20;0;557;4244;5,64;4197;8,60;8,20;8,70;0,80;;26;1,11;7,66;6,73;5,19;;;;14,88;7,84;11,10;6,10;11,60;0,87;1,11;5,39;False;False;False
2014-02-02;-2,50;1,40;-0,40;9,20;0;591;5273;-5,68;5234;4,30;0,80;3,60;7,20;;60;1,91;2,82;1,77;1,33;;;;5,29;1,51;10,87;9,54;6,56;2,00;1,91;5,10;False;False;False
2013-12-15;-1,40;0,60;-0,30;2,40;0;529;4973;1,12;4972;5,40;0,00;3,70;0,40;;2;2,05;3,68;1,91;1,51;;;;1,31;1,10;5,32;2,30;2,60;0,07;2,05;1,87;False;False;True
2013-12-08;0,80;7,90;3,10;1,90;0;534;5024;1,37;4879;7,60;7,30;7,10;0,10;;3;2,06;6,42;5,45;4,40;;;;0,05;3,64;3,35;4,58;2,23;0,10;2,06;2,30;False;False;True
2013-12-01;-0,20;3,10;1,50;1,50;0;544;4914;0,28;4698;6,60;2,50;5,50;0,50;;13;2,08;4,99;2,76;3,09;;;;3,75;4,84;0,49;3,51;2,68;0,43;2,08;2,26;False;False;True
2014-01-26;-6,80;-3,70;-5,70;1,60;0;574;4642;1,88;4904;0,00;4,30;1,70;0,40;;43;1,93;0,68;5,15;5,81;;;;3,75;0,13;3,88;2,02;2,90;1,43;1,93;2,14;False;False;True
